Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Casa para comprar com 135 m², 3 quartos, 2 banheiros, 3 vagas em Passo Manso, Blumenau",,135.0,790000.0,5851.851851851852,-27.0797576,-48.9100801,Casa,3,2,3
"Lote/Terreno para comprar com 2659 m² em Salto do Norte, Blumenau",Rua Frieda Kruger,2659.0,1000000.0,376.081233546446,-26.8733047,-49.0996874,Lote/Terreno,0,0,0
"Apartamento para comprar com 93 m², 2 quartos, 2 banheiros, 1 vaga em Victor Konder, Blumenau",,93.0,630000.0,6774.193548387097,-27.0797576,-48.9100801,Apartamento,2,2,1
"Sala/Conjunto para comprar com 33 m², 2 banheiros, 2 vagas em Velha, Blumenau",,33.0,300000.0,9090.90909090909,-27.0797576,-48.9100801,Sala/Conjunto,0,2,2
"Apartamento para comprar com 91-101 m², 3 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",,101.0,773000.0,7653.465346534654,-27.0797576,-48.9100801,Apartamento,3,2,2
"Lote/Terreno para comprar com 534 m² em Fortaleza Alta, Blumenau",,534.0,278000.0,520.5992509363296,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 56-59 m², 1 quarto, 1 banheiro, 1 vaga em Centro, Blumenau",Rua Sete de Setembro,59.0,550000.0,9322.033898305084,-26.9231016,-49.0630284,Apartamento,1,1,1
"Apartamento para comprar com 73 m², 2 quartos, 2 banheiros, 1 vaga em Água Verde, Blumenau",,73.0,372000.0,5095.890410958904,-27.0797576,-48.9100801,Apartamento,2,2,1
"Sala/Conjunto para comprar com 116 m², 3 banheiros, 3 vagas em Centro, Blumenau",Rua Alwin Schrader,116.0,340000.0,2931.0344827586205,-26.9232075,-49.0544767,Sala/Conjunto,0,3,3
"Lote/Terreno para comprar com 315 m² em Água Verde, Blumenau",,315.0,345600.0,1097.142857142857,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 794 m² em Velha Central, Blumenau",,794.0,480000.0,604.5340050377833,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 159-160 m², 3 quartos, 3 banheiros, 1 vaga em Centro, Blumenau",Rua Presidente Getúlio Vargas,160.0,1990000.0,12437.5,-26.9168124,-49.0694235,Apartamento,3,3,1
"Apartamento para comprar com 73 m², 2 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",,73.0,425000.0,5821.917808219178,-27.0797576,-48.9100801,Apartamento,2,2,2
"Apartamento para comprar com 64 m², 2 quartos, 2 banheiros, 1 vaga em Escola Agrícola, Blumenau",Rua Carmelo Bogo,64.0,395000.0,6171.875,-26.8967076,-49.0968381,Apartamento,2,2,1
"Lote/Terreno para comprar com 1339 m² em Água Verde, Blumenau",,1339.0,1081296.0,807.5399551904407,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 656 m² em Itoupava Central, Blumenau",Rua Gustavo Zimmermann,656.0,680000.0,1036.5853658536585,-26.8408309,-49.0893773,Lote/Terreno,0,0,0
"Apartamento para comprar com 54-59 m², 2 quartos, 1 banheiro em Fortaleza, Blumenau",,59.0,421000.0,7135.593220338983,-27.0797576,-48.9100801,Apartamento,2,1,0
"Lote/Terreno para comprar com 1298 m² em Itoupava Norte, Blumenau",Rua Dois de Setembro,1298.0,1800000.0,1386.748844375963,-26.8762026,-49.0874096,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 406 m² em Salto do Norte, Blumenau",,406.0,300000.0,738.9162561576354,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 59 m², 2 quartos, 1 banheiro, 1 vaga em Ribeirão Fresco, Blumenau",Rua Pastor Oswald Hesse,59.0,315000.0,5338.983050847458,-26.9265554,-49.0519544,Apartamento,2,1,1
"Apartamento para comprar com 83 m², 2 quartos, 3 banheiros, 1 vaga em Velha, Blumenau",,83.0,565000.0,6807.22891566265,-27.0797576,-48.9100801,Apartamento,2,3,1
"Casa para comprar com 396 m², 12 quartos, 4 banheiros, 4 vagas em Garcia, Blumenau",Rua Olinda,396.0,549730.0,1388.207070707071,-26.9520215,-49.0671039,Casa,12,4,4
"Imóvel comercial para comprar com 124 m², 3 quartos, 2 banheiros, 3 vagas em Testo Salto, Blumenau",Rua Fermino Vitoriano,124.0,600000.0,4838.709677419355,-26.8645151,-49.1383395,Imóvel,3,2,3
"Casa para comprar com 242 m², 3 quartos, 3 banheiros, 2 vagas em Água Verde, Blumenau",,242.0,1100000.0,4545.454545454545,-27.0797576,-48.9100801,Casa,3,3,2
"Lote/Terreno para comprar com 3673 m² em Fidélis, Blumenau",Rua Anna Rosemann,3673.0,650000.0,176.9670569017152,-26.8281338,-49.061006,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 620 m² em Velha, Blumenau",Rua General Osório,620.0,1650000.0,2661.2903225806454,-26.9143717,-49.1098885,Lote/Terreno,0,0,0
"Sala/Conjunto para comprar com 45 m², 1 banheiro, 2 vagas em Centro, Blumenau",Rua Alwin Schrader,45.0,340000.0,7555.555555555556,-26.9232075,-49.0544767,Sala/Conjunto,0,1,2
"Apartamento para comprar com 38 m², 2 quartos, 1 banheiro, 1 vaga em Itoupava Central, Blumenau",Rua Rudolfo Walter,38.0,205000.0,5394.736842105263,-26.8085709,-49.0999448,Apartamento,2,1,1
"Apartamento para comprar com 82 m², 3 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",,82.0,890000.0,10853.658536585366,-27.0797576,-48.9100801,Apartamento,3,2,2
"Apartamento para comprar com 153 m², 3 quartos, 2 banheiros, 2 vagas em Jardim Blumenau, Blumenau",,153.0,950000.0,6209.150326797386,-27.0797576,-48.9100801,Apartamento,3,2,2
"Lote/Terreno para comprar com 245 m² em Vila Nova, Blumenau",Rua Joinville,245.0,695000.0,2836.734693877551,-26.908409,-49.082358,Lote/Terreno,0,0,0
"Casa de condomínio para comprar com 350 m², 3 quartos, 5 banheiros, 4 vagas em Velha, Blumenau",Rua Fritz Wolfram Neto,350.0,2610000.0,7457.142857142857,-26.9209413,-49.0962637,Casa,3,5,4
"Imóvel comercial para comprar com 150 m², 3 banheiros, 2 vagas em Ribeirão Fresco, Blumenau",Rua Pastor Oswald Hesse,150.0,550000.0,3666.6666666666665,-26.9265554,-49.0519544,Imóvel,0,3,2
"Apartamento para comprar com 98 m², 2 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",Rua José de Alencar,98.0,690000.0,7040.816326530612,-26.8986849,-49.0893299,Apartamento,2,2,2
"Sobrado para comprar com 90 m², 2 quartos, 2 banheiros, 2 vagas em Badenfurt, Blumenau",,90.0,430000.0,4777.777777777777,-27.0797576,-48.9100801,Sobrado,2,2,2
"Lote/Terreno para comprar com 347 m² em Itoupava Norte, Blumenau",,347.0,225000.0,648.4149855907781,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 126 m², 3 quartos, 2 banheiros, 2 vagas em Vila Nova, Blumenau",,126.0,803794.0,6379.31746031746,-27.0797576,-48.9100801,Apartamento,3,2,2
"Lote/Terreno para comprar com 539 m² em Fortaleza Alta, Blumenau",,539.0,280000.0,519.4805194805194,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 308 m² em Escola Agrícola, Blumenau",Rua José Deeke,308.0,480000.0,1558.4415584415583,-26.8890972,-49.1120059,Lote/Terreno,0,0,0
"Casa para comprar com 160 m², 4 quartos, 4 banheiros, 5 vagas em Água Verde, Blumenau",,160.0,550000.0,3437.5,-27.0797576,-48.9100801,Casa,4,4,5
"Apartamento para comprar com 98 m², 3 quartos, 2 banheiros, 2 vagas em Victor Konder, Blumenau",Rua Paraíba,98.0,890000.0,9081.632653061224,-26.9119114,-49.0730898,Apartamento,3,2,2
"Casa para comprar com 113 m², 3 quartos, 3 banheiros, 2 vagas em Itoupava Norte, Blumenau",Rua Massaranduba,113.0,690000.0,6106.194690265486,-26.8758014,-49.086384,Casa,3,3,2
"Apartamento para comprar com 55 m², 2 quartos, 2 banheiros, 1 vaga em Velha, Blumenau",Rua Jacó Brueckheimer,55.0,480000.0,8727.272727272728,-26.9169866,-49.0870125,Apartamento,2,2,1
"Lote/Terreno para comprar com 375 m² em Velha Central, Blumenau",,375.0,195000.0,520.0,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 307 m² em Itoupava Norte, Blumenau",Rua Primeiro de Maio,307.0,802000.0,2612.3778501628663,-26.8881088,-49.0769869,Lote/Terreno,0,0,0
"Apartamento para comprar com 88 m², 2 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",Rua Henrique Dias,88.0,800000.0,9090.90909090909,-26.9142719,-49.0905263,Apartamento,2,3,2
"Apartamento para comprar com 70 m², 3 quartos, 2 banheiros, 2 vagas em Tribess, Blumenau",,70.0,553200.0,7902.857142857143,-27.0797576,-48.9100801,Apartamento,3,2,2
"Lote/Terreno para comprar com 449 m² em Escola Agrícola, Blumenau",Rua Júpiter,449.0,219000.0,487.75055679287306,-26.9067776,-49.1021916,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 384 m² em Fortaleza, Blumenau",,384.0,250000.0,651.0416666666666,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Sala/Conjunto para comprar com 49 m², 1 banheiro, 1 vaga em Ponta Aguda, Blumenau",Rua Bogotá,49.0,250000.0,5102.040816326531,-26.9048775,-49.0655961,Sala/Conjunto,0,1,1
"Casa para comprar com 200 m², 4 quartos, 4 banheiros, 4 vagas em Glória, Blumenau",Rua Maria da Silva Oliveira,200.0,519740.0,2598.7,-26.9677442,-49.0506414,Casa,4,4,4
"Apartamento para comprar com 55 m², 2 quartos, 2 banheiros, 1 vaga em Velha, Blumenau",Rua Jacó Brueckheimer,55.0,495000.0,9000.0,-26.9169866,-49.0870125,Apartamento,2,2,1
