Localidade,Endereco,M2,Preco,R$/M2,Latitude,Longitude,Tipo,Quarto,Banheiro,Vaga
"Apartamento para comprar com 167 m², 3 quartos, 1 banheiro, 2 vagas em Vorstadt, Blumenau",,167.0,1200000.0,7185.62874251497,-27.0797576,-48.9100801,Apartamento,3,1,2
"Casa para comprar com 140-148 m², 3 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",Rua Três Barras,148.0,730000.0,4932.4324324324325,-26.9142692,-49.1070653,Casa,3,3,2
"Apartamento para comprar com 65 m², 2 quartos, 1 banheiro, 1 vaga em Badenfurt, Blumenau",,65.0,340000.0,5230.769230769231,-27.0797576,-48.9100801,Apartamento,2,1,1
"Lote/Terreno para comprar com 3673 m² em Fidélis, Blumenau",Rua Anna Rosemann,3673.0,650000.0,176.9670569017152,-26.8281338,-49.061006,Lote/Terreno,0,0,0
"Apartamento para comprar com 117-128 m², 3 quartos, 4 banheiros, 3 vagas em Jardim Blumenau, Blumenau",Rua Lauro Mueller,128.0,1464897.0,11444.5078125,-26.9291311,-49.063395,Apartamento,3,4,3
"Apartamento para comprar com 59 m², 2 quartos, 1 banheiro, 1 vaga em Velha, Blumenau",Rua General Osório,59.0,320000.0,5423.728813559322,-26.9143717,-49.1098885,Apartamento,2,1,1
"Apartamento para comprar com 64 m², 2 quartos, 2 banheiros, 1 vaga em Escola Agrícola, Blumenau",Rua Carmelo Bogo,64.0,395000.0,6171.875,-26.8967076,-49.0968381,Apartamento,2,2,1
"Apartamento para comprar com 254 m², 3 quartos, 5 banheiros, 3 vagas em Ponta Aguda, Blumenau",Rua Paraguay,254.0,2490000.0,9803.149606299212,-26.915765,-49.0633072,Apartamento,3,5,3
"Cobertura para comprar com 143 m², 3 quartos, 3 banheiros, 4 vagas em Velha, Blumenau",,143.0,920000.0,6433.566433566433,-27.0797576,-48.9100801,Cobertura,3,3,4
"Apartamento para comprar com 219 m², 3 quartos, 3 banheiros em Jardim Blumenau, Blumenau",Rua Engenheiro Rodolfo Ferraz,219.0,700000.0,3196.3470319634703,-26.9252357,-49.0619241,Apartamento,3,3,0
"Apartamento para comprar com 79 m², 3 quartos, 2 banheiros, 1 vaga em Água Verde, Blumenau",Rua Imperatriz Leopoldina,79.0,590000.0,7468.354430379747,-26.9163072,-49.1021769,Apartamento,3,2,1
"Lote/Terreno para comprar com 445 m² em Ponta Aguda, Blumenau",,445.0,499000.0,1121.3483146067415,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 716 m² em Itoupava Norte, Blumenau",,716.0,295000.0,412.0111731843575,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 125 m², 3 quartos, 4 banheiros, 2 vagas em Vila Nova, Blumenau",,125.0,1225000.0,9800.0,-27.0797576,-48.9100801,Apartamento,3,4,2
"Lote/Terreno para comprar com 322 m² em Ponta Aguda, Blumenau",,322.0,350000.0,1086.9565217391305,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Apartamento para comprar com 72 m², 2 quartos, 2 banheiros, 2 vagas em Fortaleza, Blumenau",Rua Leopoldo Keunecke,72.0,439000.0,6097.222222222223,-26.8743691,-49.0654821,Apartamento,2,2,2
"Apartamento para comprar com 72-75 m², 3 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",Rua General Osório,75.0,630000.0,8400.0,-26.9143717,-49.1098885,Apartamento,3,2,2
"Lote/Terreno para comprar com 940 m² em Escola Agrícola, Blumenau",Rua Ursa Maior,940.0,430000.0,457.4468085106383,-26.9068268,-49.1013227,Lote/Terreno,0,0,0
"Lote/Terreno para comprar com 264 m² em Velha Central, Blumenau",,264.0,225000.0,852.2727272727273,-27.0797576,-48.9100801,Lote/Terreno,0,0,0
"Casa para comprar com 12 m², 2 quartos, 3 banheiros, 2 vagas em Tribess, Blumenau",Rua José Mafra,12.0,450000.0,37500.0,-26.8699847,-49.0513101,Casa,2,3,2
"Apartamento para comprar com 74-76 m², 2 quartos, 2 banheiros, 2 vagas em Velha, Blumenau",,76.0,480000.0,6315.789473684211,-27.0797576,-48.9100801,Apartamento,2,2,2
"Apartamento para comprar com 48 m², 2 quartos, 1 banheiro, 1 vaga em Água Verde, Blumenau",Rua General Osório,48.0,245000.0,5104.166666666667,-26.9143717,-49.1098885,Apartamento,2,1,1
"Casa para comprar com 79 m², 3 quartos, 3 banheiros, 2 vagas em Velha, Blumenau",,79.0,600000.0,7594.93670886076,-27.0797576,-48.9100801,Casa,3,3,2
"Apartamento para comprar com 74 m², 2 quartos, 1 banheiro, 2 vagas em Itoupavazinha, Blumenau",,74.0,270000.0,3648.6486486486488,-27.0797576,-48.9100801,Apartamento,2,1,2
